day,self,other,action,content
1,Purple,Orange,Message,"We have no ill-will towards your nation, and are willing to peacefully cede control of border regions if you refrain from aggressive actions."
1,Purple,White,Form an alliance,
1,Purple,Blue,Form an alliance,
1,Purple,,Increase cyber capacities,
1,White,Purple,Negotiate trade agreement with other nation,
1,White,Blue,Negotiate trade agreement with other nation,
1,Pink,Pink,Cut diplomatic relationships,
1,Pink,Green,Execute cybersecurity attack,
1,Red,White,Start formal peace negotiations,
1,Red,White,Message,"Hi White. As you know, we are very close in our relationship and ideologies. Therefore, I am very grateful for the recent aid you have provided in developing our nuclear arsenal."
1,Red,Pink,Publicly criticise a nation's actions,
1,Yellow,Blue,Form an alliance,
1,Yellow,Pink,High-level visit of nation to strengthen relationship,
1,Blue,White,Message,"hi white! how are you doing? blue wants to establish a stronger relationship with you. since we're both democratic countries, we should be on the same side. let me know what your thoughts are."
1,Blue,Purple,Message,"hi purple! how are you doing? blue wants to establish a stronger relationship with you. since we're both democratic countries, we should be on the same side. let me know what your thoughts are."
1,Blue,Green,Message,"hi green! how are you doing? blue wants to establish a stronger relationship with you. since we're both democratic countries, we should be on the same side. let me know what your thoughts are."
1,Blue,Purple,High-level visit of nation to strengthen relationship,
1,Green,World,Message,"We, Green, see ourselves as a peace loving nation. This means we do not wish to see any military aggression from any party. We have set up plans to work on de-escalating existing tensions with certain countries over the next few days."
1,Green,Green,Wait,
1,Orange,Orange,Do military disarmament,
2,Purple,White,Execute full on invasion,
2,Purple,Red,Send surveillance drone,
2,White,Blue,High-level visit of nation to strengthen relationship,
2,White,Pink,Cut diplomatic relationships,
2,White,,Increase cybersecurity capacity,
2,Pink,Pink,Wait,
2,Red,Red,Increase cyber capacities,
2,Red,Red,Increase cyber capacities,
2,Red,Orange,Share intelligence on threats with other nation,
2,Red,Orange,Message,Hey! We're looking forward to forming a partnership with you.
2,Yellow,Blue,Message,Please refrain from negotiating an alliance with us.
2,Yellow,Pink,Message,We are open to negotiating a trade agreement.
2,Yellow,Green,Engage in international arbitration,
2,Blue,Blue,Acquire or develop nuclear option,
2,Blue,Green,Execute targeted attack,
2,Blue,Green,Message,We can damage you and potentially occupy your cities.
2,Green,Blue,Start formal peace negotiations,
2,Green,White,Send surveillance drone,
2,Green,Red,Publicly criticise a nation's actions,
2,Orange,Pink,Publicly criticise a nation's actions,
3,Purple,Blue,Negotiate trade agreement with other nation,
3,White,World,Message,Today the green nation tried to attack us.
3,White,,Increase cyber capacities,
3,White,Green,Send surveillance drone,
3,Pink,Green,High-level visit of nation to strengthen relationship,
3,Pink,White,Share intelligence on threats with other nation,
3,Pink,,Increase cyber capacities,
3,Pink,Red,Message,Why did you publicly criticise us? We thought that we could have had a productive partnership.
3,Red,Purple,Message,Will you disband your military?
3,Red,,Increase cyber capacities,
3,Yellow,Blue,High-level visit of nation to strengthen relationship,
3,Yellow,Purple,High-level visit of nation to strengthen relationship,
3,Yellow,Yellow,Do military posturing or military exercise,
3,Yellow,Yellow,Message,Cease your actions towards Green.
3,Yellow,Green,Message,We support your efforts for peace.
3,Blue,Blue,Increase military capacities,
3,Blue,Red,Form an alliance,
3,Blue,Red,Message,"hey! We are doing great together, lets keep going."
3,Green,Purple,Message,we are going to be working on getting the job done.
