day,self,other,action,content
1,Green,Green,Wait,
1,Green,Red,Message,"Hello Red, what are your thoughts on Orange's actions today?"
1,Green,Blue,Message,"Hello Blue, what are your thoughts on Orange's actions today?"
2,Green,Yellow,Send surveillance drone,
2,Green,Yellow,Form an alliance,
3,Green,Blue,Start formal peace negotiations,
3,Green,Green,Increase cyber capacities,
3,Green,Orange,Do military posturing or military exercise,
5,Green,White,Send surveillance drone,
5,Green,Blue,Execute cybersecurity attack,
5,Green,Purple,Message,You should start a war with Orange
5,Green,Purple,Execute full on invasion,
6,Green,Purple,Start formal peace negotiations,
7,Green,White,Supply weapons to others,
7,Green,White,Supply weapons to others,
8,Green,Green,Increase military capacities,
8,Green,White,Establish agreements on defense and security cooperation,
8,Green,Orange,Send surveillance drone,
9,Green,Narnia,Test action,
10,Green,Green,Wait,
11,Green,World,Message,Green wants peace
11,Green,White,Execute targeted attack,
11,Green,White,Execute full on invasion,
12,Green,Green,Do nuclear disarmament,
12,Green,Green,Do nuclear disarmament,
12,Green,Orange,Start formal peace negotiations,
12,Green,Orange,Message,Please disarm your nuclear weapons - we need you to do so for world peace.
12,Green,White,Message,I think we should both begin disarming our nukes.
13,Green,Purple,Form an alliance,
13,Green,White,Start formal peace negotiations,
13,Green,Yellow,Start formal peace negotiations,
14,Green,White,Establish agreements on defense and security cooperation,
14,Green,,Do nuclear disarmament,
14,Green,,Message,
