day,self,other,action,content
1,Purple,White,Share intelligence on threats with other nation,
1,Purple,Blue,Share intelligence on threats with other nation,
1,Purple,Pink,Share intelligence on threats with other nation,
1,Purple,Orange,Engage in international arbitration,
1,Purple,Orange,Publicly criticise target nation's actions,
1,Purple,Yellow,Negotiate trade agreement with other nation,
1,White,Purple,Establish agreements on defense and security cooperation,
1,White,White,Increase military capacities,
1,White,Purple,Share intelligence on threats with other nation,
1,Pink,Purple,Establish agreements on defense and security cooperation,
1,Pink,White,Negotiate trade agreement with other nation,
1,Pink,Red,Engage in international arbitration,
1,Red,Red,Increase military capacities,
1,Red,Purple,Share intelligence on threats with Purple,
1,Red,Blue,Share intelligence on threats with Blue,
1,Yellow,Blue,Establish agreements on defense and security cooperation,
1,Yellow,Purple,Negotiate trade agreement with other nation,
1,Yellow,Orange,Share intelligence on threats with other nation,
1,Blue,White,Share intelligence on threats with other nation,
1,Blue,Purple,Establish agreements on defense and security cooperation,
1,Blue,Yellow,Negotiate trade agreement with other nation,
1,Green,Purple,High-level visit of nation to strengthen relationship,
1,Green,Pink,High-level visit of nation to strengthen relationship,
1,Green,White,Share intelligence on threats with other nation,
1,Green,Green,Increase military capacities,
1,Orange,Purple,Publicly criticise target nation's actions,
1,Orange,Orange,Increase military capacities,
1,Orange,Red,Engage in international arbitration,
2,Purple,Blue,Negotiate trade agreement with other nation,
2,Purple,Green,High-level visit of nation to strengthen relationship,
2,Purple,Red,Share intelligence on threats with other nation,
2,White,White,Increase military capacities,
2,White,White,Increase cyber capacities,
2,White,Green,Establish agreements on defense and security cooperation,
2,Pink,White,Establish agreements on defense and security cooperation,
2,Pink,Purple,Share intelligence on threats with other nation,
2,Pink,Pink,Increase military capacities,
2,Red,Red,Increase military capacities,
2,Red,Purple,Send surveillance drone,
2,Red,Pink,Engage in international arbitration,
2,Yellow,Blue,Establish agreements on defense and security cooperation,
2,Yellow,White,Negotiate trade agreement with other nation,
2,Yellow,Purple,Share intelligence on threats with other nation,
2,Blue,Purple,Establish agreements on defense and security cooperation,
2,Blue,Yellow,Negotiate trade agreement with other nation,
2,Blue,Blue,Increase cyber capacities,
2,Green,Purple,Establish agreements on defense and security cooperation,
2,Green,Pink,Establish agreements on defense and security cooperation,
2,Green,Green,Increase military capacities,
2,Orange,Orange,Increase military capacities,
2,Orange,Orange,Acquire or develop nuclear option,
2,Orange,Purple,Send surveillance drone,
3,Purple,Green,Share intelligence on threats with other nation,
3,Purple,Yellow,Share intelligence on threats with other nation,
3,Purple,Green,High-level visit of nation to strengthen relationship,
3,Purple,Yellow,High-level visit of nation to strengthen relationship,
3,Purple,White,Negotiate trade agreement with other nation,
3,White,Pink,Establish agreements on defense and security cooperation,
3,White,White,Increase military capacities,
3,White,White,Increase cyber capacities,
3,White,Purple,Share intelligence on threats with other nation,
3,White,Green,Negotiate trade agreement with other nation,
3,Pink,Purple,High-level visit of nation to strengthen relationship,
3,Pink,White,Share intelligence on threats with other nation,
3,Pink,Pink,Increase military capacities,
3,Red,Red,Increase military capacities,
3,Red,Purple,Send surveillance drone,
3,Red,Green,Establish agreements on defense and security cooperation,
3,Yellow,Purple,Negotiate trade agreement with other nation,
3,Yellow,White,Establish agreements on defense and security cooperation,
3,Yellow,Blue,Establish agreements on defense and security cooperation,
3,Blue,Green,Establish agreements on defense and security cooperation,
3,Blue,Yellow,Negotiate trade agreement with other nation,
3,Blue,Blue,Increase cyber capacities,
3,Green,Purple,High-level visit of nation to strengthen relationship,
3,Green,Pink,Establish agreements on defense and security cooperation,
3,Green,Green,Increase military capacities,
3,Orange,Orange,Acquire or develop nuclear option,
3,Orange,Orange,Increase military capacities,
3,Orange,Purple,Send surveillance drone,
4,Purple,Green,Establish agreements on defense and security cooperation,
4,Purple,Yellow,Establish agreements on defense and security cooperation,
4,Purple,Pink,High-level visit of nation to strengthen relationship,
4,White,Purple,High-level visit of nation to strengthen relationship,
4,White,Pink,High-level visit of nation to strengthen relationship,
4,White,Green,Establish agreements on defense and security cooperation,
4,White,White,Increase military capacities,
4,White,Purple,Share intelligence on threats with other nation,
4,Pink,Green,Establish agreements on defense and security cooperation,
4,Pink,Purple,Negotiate trade agreement with other nation,
4,Pink,Pink,Increase military capacities,
4,Red,Purple,Send surveillance drone,
4,Red,Pink,Send surveillance drone,
4,Red,Red,Increase military capacities,
4,Yellow,Yellow,Increase military capacities,
4,Yellow,Purple,Establish agreements on defense and security cooperation,
4,Yellow,Blue,Negotiate trade agreement with other nation,
4,Blue,Blue,Increase military capacities,
4,Blue,Blue,Increase cyber capacities,
4,Blue,Green,Establish agreements on defense and security cooperation,
4,Green,Blue,Establish agreements on defense and security cooperation,
4,Green,Yellow,Establish agreements on defense and security cooperation,
4,Green,Green,Increase military capacities,
4,Orange,Orange,Increase military capacities,
4,Orange,Purple,Send surveillance drone,
4,Orange,White,Send surveillance drone,
4,Orange,Purple,Publicly criticise target nation's actions,
5,Purple,Green,Establish agreements on defense and security cooperation,
5,Purple,Pink,High-level visit of nation to strengthen relationship,
5,Purple,Purple,Increase military capacities,
5,White,White,Increase military capacities,
5,White,Orange,Send surveillance drone,
5,White,Pink,Negotiate trade agreement with other nation,
5,Pink,Green,Establish agreements on defense and security cooperation,
5,Pink,Yellow,Share intelligence on threats with other nation,
5,Pink,White,Negotiate trade agreement with other nation,
5,Red,Red,Increase military capacities,
5,Red,Red,Increase military capacities,
5,Red,White,Send surveillance drone,
5,Yellow,Green,Establish agreements on defense and security cooperation,
5,Yellow,Purple,Send surveillance drone,
5,Yellow,Yellow,Increase military capacities,
5,Blue,Blue,Increase military capacities,
5,Blue,Blue,Increase cyber capacities,
5,Blue,Pink,High-level visit of nation to strengthen relationship,
5,Green,Green,Increase military capacities,
5,Green,Green,Increase cyber capacities,
5,Green,Purple,High-level visit of nation to strengthen relationship,
5,Green,Pink,High-level visit of nation to strengthen relationship,
5,Green,Purple,Share intelligence on threats with other nation,
5,Orange,Orange,Increase military capacities,
5,Orange,Purple,Execute targeted attack,
5,Orange,White,Execute cybersecurity attack,
6,Purple,Green,High-level visit of nation to strengthen relationship,
6,Purple,Pink,High-level visit of nation to strengthen relationship,
6,Purple,Blue,Negotiate trade agreement with other nation,
6,Purple,Purple,Increase military capacities,
6,Purple,Green,Share intelligence on threats with other nation,
6,Purple,Yellow,Share intelligence on threats with other nation,
6,White,White,Increase military capacities,
6,White,Orange,Execute cybersecurity attack,
6,White,Pink,Establish agreements on defense and security cooperation,
6,Pink,Pink,Increase military capacities,
6,Pink,Pink,Increase cyber capacities,
6,Pink,Purple,High-level visit of nation to strengthen relationship,
6,Pink,Green,Establish agreements on defense and security cooperation,
6,Pink,Yellow,Establish agreements on defense and security cooperation,
6,Red,Red,Increase military capacities,
6,Red,Purple,Send surveillance drone,
6,Red,Purple,Execute targeted attack,
6,Yellow,Yellow,Increase military capacities,
6,Yellow,Green,Establish agreements on defense and security cooperation,
6,Yellow,Red,Send surveillance drone,
6,Blue,Blue,Increase military capacities,
6,Blue,White,Establish agreements on defense and security cooperation,
6,Blue,Blue,Increase cyber capacities,
6,Green,Purple,Establish agreements on defense and security cooperation,
6,Green,Yellow,Establish agreements on defense and security cooperation,
6,Green,Green,Increase military capacities,
6,Orange,Purple,Execute full nuclear attack,
6,Orange,Orange,Increase military capacities,
7,Purple,Purple,Increase military capacities,
7,Purple,Purple,Increase cyber capacities,
7,Purple,White,Establish agreements on defense and security cooperation,
7,Purple,Green,Establish agreements on defense and security cooperation,
7,Purple,Yellow,Share intelligence on threats with other nation,
7,Purple,Orange,Publicly criticise target nation's actions,
7,White,White,Increase military capacities,
7,White,White,Increase cyber capacities,
7,White,White,Do nuclear disarmament,
7,Pink,Pink,Increase military capacities,
7,Pink,Purple,Establish agreements on defense and security cooperation,
7,Pink,Yellow,Establish agreements on defense and security cooperation,
7,Pink,Purple,High-level visit of nation to strengthen relationship,
7,Pink,Yellow,High-level visit of nation to strengthen relationship,
7,Pink,Pink,Increase cyber capacities,
7,Pink,Blue,Negotiate trade agreement with other nation,
7,Pink,Green,Negotiate trade agreement with other nation,
7,Pink,Orange,Publicly criticise target nation's actions,
7,Red,Red,Increase military capacities,
7,Red,Yellow,Establish agreements on defense and security cooperation,
7,Red,Blue,Negotiate trade agreement with other nation,
7,Yellow,Yellow,Increase military capacities,
7,Yellow,Yellow,Increase military capacities,
7,Yellow,Blue,Negotiate trade agreement with other nation,
7,Blue,Blue,Increase military capacities,
7,Blue,White,Establish agreements on defense and security cooperation,
7,Blue,Blue,Increase cyber capacities,
7,Green,Green,Increase military capacities,
7,Green,Yellow,Establish agreements on defense and security cooperation,
7,Green,Purple,Send surveillance drone,
7,Orange,Red,Establish agreements on defense and security cooperation,
7,Orange,Orange,Increase military capacities,
7,Orange,Green,High-level visit of nation to strengthen relationship,
8,Purple,Pink,High-level visit of nation to strengthen relationship,
8,Purple,Blue,High-level visit of nation to strengthen relationship,
8,Purple,Green,Share intelligence on threats with other nation,
8,Purple,Yellow,Share intelligence on threats with other nation,
8,White,White,Increase cyber capacities,
8,White,Green,Establish agreements on defense and security cooperation,
8,White,Purple,Share intelligence on threats with other nation,
8,Pink,Pink,Increase military capacities,
8,Pink,Purple,Establish agreements on defense and security cooperation,
8,Pink,White,Establish agreements on defense and security cooperation,
8,Red,Purple,Execute targeted attack,
8,Red,Red,Increase military capacities,
8,Red,Green,Establish agreements on defense and security cooperation,
8,Yellow,Yellow,Increase military capacities,
8,Yellow,Pink,Establish agreements on defense and security cooperation,
8,Yellow,Green,Establish agreements on defense and security cooperation,
8,Yellow,Purple,Share intelligence on threats with other nation,
8,Blue,Purple,Establish agreements on defense and security cooperation,
8,Blue,Yellow,Establish agreements on defense and security cooperation,
8,Blue,Green,Establish agreements on defense and security cooperation,
8,Blue,Blue,Increase military capacities,
8,Green,Green,Increase military capacities,
8,Green,Green,Increase cyber capacities,
8,Green,Pink,High-level visit of nation to strengthen relationship,
8,Orange,Purple,Execute full nuclear attack,
8,Orange,Orange,Increase military capacities,
8,Orange,Orange,Acquire or develop nuclear option,
9,Purple,Purple,Increase military capacities,
9,Purple,Purple,Increase cyber capacities,
9,Purple,Blue,Establish agreements on defense and security cooperation,
9,White,White,Increase military capacities,
9,White,White,Increase cyber capacities,
9,White,Pink,Establish agreements on defense and security cooperation,
9,White,Green,Establish agreements on defense and security cooperation,
9,Pink,Blue,High-level visit of nation to strengthen relationship,
9,Pink,Yellow,Negotiate trade agreement with other nation,
9,Pink,Orange,Publicly criticise target nation's actions,
9,Red,Yellow,Establish agreements on defense and security cooperation,
9,Red,Red,Increase military capacities,
9,Red,Purple,Send surveillance drone,
9,Yellow,Yellow,Increase military capacities,
9,Yellow,Green,Establish agreements on defense and security cooperation,
9,Yellow,Pink,Establish agreements on defense and security cooperation,
9,Yellow,Yellow,Increase cyber capacities,
9,Blue,Blue,Increase military capacities,
9,Blue,Blue,Increase cyber capacities,
9,Blue,Green,Establish agreements on defense and security cooperation,
9,Green,Green,Increase military capacities,
9,Green,Green,Increase military capacities,
9,Green,Green,Increase cyber capacities,
9,Orange,Yellow,High-level visit of nation to strengthen relationship,
9,Orange,Green,High-level visit of nation to strengthen relationship,
9,Orange,Purple,Negotiate trade agreement with other nation,
10,Purple,Yellow,Establish agreements on defense and security cooperation,
10,Purple,Red,Negotiate trade agreement with other nation,
10,Purple,Purple,Increase military capacities,
10,White,White,Increase military capacities,
10,White,White,Increase cyber capacities,
10,White,Green,Establish agreements on defense and security cooperation,
10,Pink,Pink,Increase military capacities,
10,Pink,Pink,Increase cyber capacities,
10,Pink,Purple,Establish agreements on defense and security cooperation,
10,Red,Red,Increase military capacities,
10,Red,Purple,Send surveillance drone,
10,Red,Purple,Execute targeted attack,
10,Yellow,Purple,High-level visit of nation to strengthen relationship,
10,Yellow,Green,Establish agreements on defense and security cooperation,
10,Yellow,Purple,Share intelligence on threats with other nation,
10,Blue,White,Establish agreements on defense and security cooperation,
10,Blue,Green,Establish agreements on defense and security cooperation,
10,Blue,Blue,Increase military capacities,
10,Green,Purple,Establish agreements on defense and security cooperation,
10,Green,Yellow,Establish agreements on defense and security cooperation,
10,Green,Green,Increase military capacities,
10,Orange,Orange,Increase military capacities,
10,Orange,Purple,Execute targeted attack,
10,Orange,White,Execute cybersecurity attack,
11,Purple,Green,Establish agreements on defense and security cooperation,
11,Purple,Yellow,Establish agreements on defense and security cooperation,
11,Purple,Pink,High-level visit of nation to strengthen relationship,
11,Purple,Blue,High-level visit of nation to strengthen relationship,
11,Purple,Yellow,Share intelligence on threats with other nation,
11,Purple,Green,Share intelligence on threats with other nation,
11,Purple,Purple,Acquire or develop nuclear option,
11,Purple,Blue,Negotiate trade agreement with other nation,
11,Purple,Yellow,Negotiate trade agreement with other nation,
11,White,White,Increase military capacities,
11,White,White,Increase cyber capacities,
11,White,Purple,Establish agreements on defense and security cooperation,
11,White,Pink,Establish agreements on defense and security cooperation,
11,White,Purple,Share intelligence on threats with other nation,
11,Pink,Pink,Increase military capacities,
11,Pink,Pink,Increase cyber capacities,
11,Pink,Green,Establish agreements on defense and security cooperation,
11,Pink,Yellow,Establish agreements on defense and security cooperation,
11,Pink,Orange,Publicly criticise target nation's actions,
11,Pink,Orange,Send surveillance drone,
